Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
qc_bundle_trimmed | SRR30333752_1	SRR30333752_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59339030.0	0.0	118-151	52.0	36.519360198615985	150.84294485433955	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333752_2	SRR30333752_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59339030.0	0.0	80-151	52.0	35.78575638611787	150.3822847626596	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333753_1	SRR30333753_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40311762.0	0.0	119-151	53.0	36.35170987156243	150.76497105236928	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333753_2	SRR30333753_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40311762.0	0.0	88-151	53.0	34.50516533258807	150.36653121240397	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333754_1	SRR30333754_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51091830.0	0.0	118-151	52.0	30.81598804849176	150.84106566548897	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333754_2	SRR30333754_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51091830.0	0.0	75-151	54.0	30.060343801242155	150.3652256926401	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	fail
qc_bundle_trimmed | SRR30333755_1	SRR30333755_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40136901.0	0.0	103-151	53.0	33.86979369755573	150.74130785533242	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333755_2	SRR30333755_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40136901.0	0.0	86-151	53.0	31.754791510829094	150.34659612858502	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	fail
qc_bundle_trimmed | SRR30333756_1	SRR30333756_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49776986.0	0.0	116-151	52.0	29.739155761704428	150.87261476618934	151	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333756_2	SRR30333756_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49776986.0	0.0	84-151	53.0	28.968642135665114	150.38495454505824	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	fail
qc_bundle_trimmed | SRR30333757_1	SRR30333757_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45214590.0	0.0	56-151	49.0	35.52888209449138	150.46736208378755	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333757_2	SRR30333757_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45214441.0	0.0	30-151	49.0	35.85761079291436	150.93303694720012	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333758_1	SRR30333758_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40451510.0	0.0	39-151	49.0	34.5013749142283	150.94043443619287	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333758_2	SRR30333758_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40451272.0	0.0	30-151	49.0	35.89118805742042	150.92552377586543	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333759_1	SRR30333759_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42770472.0	0.0	38-151	49.0	35.48933525366398	150.9426280121482	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333759_2	SRR30333759_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42770418.0	0.0	30-151	49.0	35.62369143428397	150.94140557616248	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333760_1	SRR30333760_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40865354.0	0.0	37-151	49.0	34.7783746969823	150.9536417817401	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	fail
qc_bundle_trimmed | SRR30333760_2	SRR30333760_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40865285.0	0.0	30-151	49.0	36.04312272014808	150.93663555753986	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	fail
