focus_read,stage,stage_label,position,position_end,max_adapter_pct
SRR30333743_1,fastx,Current FASTX trimmed,6,6,0.00031938793135610777
SRR30333743_1,fastx,Current FASTX trimmed,7,7,0.0003672961210595239
SRR30333743_1,fastx,Current FASTX trimmed,8,8,0.0004591201513244049
SRR30333743_1,fastx,Current FASTX trimmed,9,9,0.0005389671341634319
SRR30333743_1,fastx,Current FASTX trimmed,10-14,14,0.0009637530828670553
SRR30333743_1,fastx,Current FASTX trimmed,15-19,19,0.001387341326828093
SRR30333743_1,fastx,Current FASTX trimmed,20-24,24,0.0016628134176227363
SRR30333743_1,fastx,Current FASTX trimmed,25-29,29,0.0024105804119102237
SRR30333743_1,fastx,Current FASTX trimmed,30-34,34,0.005796491719199161
SRR30333743_1,fastx,Current FASTX trimmed,35-39,39,0.015925480727243924
SRR30333743_1,fastx,Current FASTX trimmed,40-44,44,0.04126531996612333
SRR30333743_1,fastx,Current FASTX trimmed,45-49,49,0.08274103673202748
SRR30333743_1,fastx,Current FASTX trimmed,50-54,54,0.15864437708863488
SRR30333743_1,fastx,Current FASTX trimmed,55-59,59,0.2741885505455056
SRR30333743_1,fastx,Current FASTX trimmed,60-64,64,0.451928732815008
SRR30333743_1,fastx,Current FASTX trimmed,65-69,69,0.722322954736003
SRR30333743_1,fastx,Current FASTX trimmed,70-74,74,1.1166955869111552
SRR30333743_1,fastx,Current FASTX trimmed,75-79,79,1.71904365911255
SRR30333743_1,fastx,Current FASTX trimmed,80-84,84,2.617788921666297
SRR30333743_1,fastx,Current FASTX trimmed,85-89,89,3.9521541707901813
SRR30333743_1,fastx,Current FASTX trimmed,90-94,94,5.869263860123736
SRR30333743_1,fastx,Current FASTX trimmed,95-99,99,8.506161362488154
SRR30333743_1,fastx,Current FASTX trimmed,100-104,104,11.944831563687979
SRR30333743_1,fastx,Current FASTX trimmed,105-109,109,16.143882586289287
SRR30333743_1,fastx,Current FASTX trimmed,110-114,114,20.97281531618437
SRR30333743_1,fastx,Current FASTX trimmed,115-119,119,26.166203610724477
SRR30333743_1,fastx,Current FASTX trimmed,120-124,124,31.51892057099615
SRR30333743_1,fastx,Current FASTX trimmed,125-129,129,36.78531735353005
SRR30333743_1,fastx,Current FASTX trimmed,130-134,134,41.82307669228844
SRR30333743_1,fastx,Current FASTX trimmed,135-139,139,46.53481401312153
SRR30333743_1,fastx,Current FASTX trimmed,140,140,49.176836494079474
SRR30333743_1,fastp,fastp,1,1,1.4440012896169232e-05
SRR30333743_1,fastp,fastp,2,2,4.9508615644008796e-05
SRR30333743_1,fastp,fastp,3,3,8.045150042151429e-05
SRR30333743_1,fastp,fastp,4,4,0.00010108009027318463
SRR30333743_1,fastp,fastp,5,5,0.00010726866722868572
SRR30333743_1,fastp,fastp,6,6,0.0001361486930210242
SRR30333743_1,fastp,fastp,7,7,0.0001423372699765253
SRR30333743_1,fastp,fastp,8,8,0.00017121729576886376
SRR30333743_1,fastp,fastp,9,9,0.00018359444967986594
SRR30333743_1,fastp,fastp,10-14,14,0.000419998089380008
SRR30333743_1,fastp,fastp,15-19,19,0.0005330427617671614
SRR30333743_1,fastp,fastp,20-24,24,0.0005445947720840968
SRR30333743_1,fastp,fastp,25-29,29,0.0007178749268381276
SRR30333743_1,fastp,fastp,30-34,34,0.0010120386181229463
SRR30333743_1,fastp,fastp,35-39,39,0.0012868114349471953
SRR30333743_1,fastp,fastp,40-44,44,0.00136973836615091
SRR30333743_1,fastp,fastp,45-49,49,0.0016383226060196578
SRR30333743_1,fastp,fastp,50-54,54,0.0019077319894824723
SRR30333743_1,fastp,fastp,55-59,59,0.0019254725767549087
SRR30333743_1,fastp,fastp,60-64,64,0.0019407377332451448
SRR30333743_1,fastp,fastp,65-69,69,0.0019485765973887791
SRR30333743_1,fastp,fastp,70-74,74,0.002087613292989037
SRR30333743_1,fastp,fastp,75-79,79,0.002144960772776681
SRR30333743_1,fastp,fastp,80-84,84,0.002281109465797705
SRR30333743_1,fastp,fastp,85-89,89,0.002342582663555683
SRR30333743_1,fastp,fastp,90-94,94,0.0026326206368701677
SRR30333743_1,fastp,fastp,95-99,99,0.0029569020693384256
SRR30333743_1,fastp,fastp,100-104,104,0.003192893137241534
SRR30333743_1,fastp,fastp,105-109,109,0.003559256893007199
